# Created from the data file from Mimmo using the preprocess script
# Only includes columns of relevance: time, flux, local_sky, and data quality flag
# Daniel Apai
1570.473110793,17.762706833,1392.828491210,0
1570.493944213,15.861232236,1334.771972660,0
1570.514777633,20.308892464,1276.799560550,0
1570.535611053,23.309371091,1225.429443360,0
1570.556444474,27.671829429,1179.871459960,0
1570.577277895,27.428360695,1138.067138670,0
1570.598111317,34.594636846,1097.289306640,0
1570.618944738,34.563761841,1057.318359380,0
1570.639778161,38.729744504,1015.992065430,0
1570.660611583,43.521947026,975.501220700,0
1570.681445005,49.175606848,934.276306150,0
1570.702278428,51.574438924,892.356018070,0
1570.723111851,50.945731218,850.481323240,0
1570.743945275,56.696367133,805.783142090,0
1570.764778698,60.722127587,763.009887700,0
1570.785612122,61.547557112,727.812072750,0
1570.806445546,63.852854958,696.772094730,0
1570.827278970,65.741281869,669.880798340,0
1570.848112394,68.546056090,643.101684570,0
1570.868945818,72.622457318,622.882019040,0
1570.889779242,73.775653986,605.399291990,0
1570.910612667,77.676715951,585.503173830,0
1570.931446091,79.755072104,564.870727540,0
1570.952279515,83.724401560,544.858093260,0
1570.973112940,80.999457096,525.565551760,0
1570.993946364,78.284562351,505.980102540,0
1571.014779789,83.369823104,485.816772460,0
1571.035613213,84.396433848,464.718444820,0
1571.056446638,89.255019252,443.734436040,0
1571.077280062,91.545695397,423.671142580,0
1571.098113487,93.323401543,405.091186520,0
1571.118946911,93.219019799,388.956787110,0
1571.139780335,97.842661997,375.176177980,0
1571.160613760,98.704528892,362.180847170,0
1571.181447184,95.336793272,351.595214840,0
1571.202280608,96.428858117,341.698852540,0
1571.223114032,99.095475061,332.527404790,0
1571.243947455,99.413081546,323.995056150,0
1571.264780879,102.653209420,314.878875730,0
1571.285614303,102.056166723,305.916503910,0
1571.306447726,102.933897201,296.559875490,0
1571.327281150,108.546757806,286.013000490,0
1571.348114573,109.521217748,275.717041020,0
1571.368947996,107.188316020,266.033172610,0
1571.389781418,106.784624295,256.610900880,0
1571.410614841,106.044566234,248.391723630,0
1571.431448263,106.126483958,241.731750490,0
1571.452281686,108.551771681,237.318206790,0
1571.473115108,106.333888553,234.897827150,0
1571.493948530,108.449075970,232.814971920,0
1571.514781951,107.721672574,231.490219120,0
1571.535615373,108.086834997,229.506988530,0
1571.556448794,109.614009546,227.623519900,0
1571.577282215,110.559715379,225.665817260,0
1571.598115635,105.660431514,224.768463130,0
1571.618949056,105.973147141,223.255645750,0
1571.639782476,109.054266241,221.720977780,0
1571.660615896,108.960869444,219.486419680,0
1571.681449316,109.955657542,217.930557250,0
1571.702282735,108.513077369,215.195312500,0
1571.723116154,107.815518544,212.011795040,0
1571.743949573,111.224304826,208.191741940,0
1571.764782992,111.484088658,203.840454100,0
1571.785616410,108.512161884,200.136108400,0
1571.806449828,106.957440087,196.636367800,0
1571.827283246,108.452034612,193.799575810,0
1571.848116663,110.832675187,191.644500730,0
1571.868950080,113.208519790,189.270019530,0
1571.889783497,113.163809776,188.189743040,0
1571.910616913,113.203537932,187.276519780,0
1571.931450330,113.396127613,186.475891110,0
1571.952283745,113.435131803,185.388412480,0
1571.973117161,114.256545183,184.362884520,0
1571.993950576,114.697280289,182.885406490,0
1572.014783991,111.675128277,181.645538330,0
1572.035617405,112.418315126,179.831710820,0
1572.056450819,112.517602049,178.070220950,0
1572.077284233,112.463561333,176.171142580,0
1572.098117647,117.777401409,173.707000730,0
1572.118951060,117.071851821,172.321197510,0
1572.139784472,115.994231527,170.553573610,0
1572.160617885,114.561776610,169.677734380,0
1572.181451297,112.928374262,168.819183350,0
1572.202284708,112.696056675,167.938369750,0
1572.223118120,113.656165539,167.184356690,0
1572.243951530,113.827328714,166.517410280,0
1572.264784941,114.779005105,165.014831540,0
1572.285618351,115.259250725,164.030136110,0
1572.306451761,118.753125287,162.513427730,0
1572.327285170,116.426806165,161.613632200,0
1572.348118579,115.883915293,159.546600340,0
1572.368951987,115.896509408,157.743255620,0
1572.389785396,114.409984825,156.021408080,0
1572.410618803,115.134537308,154.636245730,0
1572.431452211,116.254753596,153.296875000,0
1572.452285618,117.895314141,151.910095210,0
1572.473119024,116.360661096,151.306915280,0
1572.493952430,116.730941402,151.003540040,0
1572.514785836,119.590831089,150.085662840,0
1572.535619241,118.257532229,149.818298340,0
1572.556452646,118.713573977,148.910308840,0
1572.577286050,115.217722949,149.753448490,0
1572.598119454,115.350220223,148.951019290,0
1572.618952858,149.511588598,167.438537600,32
1572.639786261,118.996469357,148.645156860,0
1572.660619664,119.781791428,148.310394290,0
1572.681453066,115.609894268,148.687866210,0
1572.702286468,115.637826451,147.854309080,0
1572.723119869,115.954338857,147.492828370,0
1572.743953270,116.082280643,146.721649170,0
1572.764786671,116.574955945,146.245040890,0
1572.785620071,118.028244590,145.197265620,0
1572.806453471,113.255438003,145.213195800,0
1572.827286870,113.832607472,144.382476810,0
1572.848120269,116.397432304,143.865478520,0
1572.868953667,118.581229232,143.553558350,0
1572.889787065,115.608811365,143.660873410,0
1572.910620462,116.081134512,143.127990720,0
1572.931453859,115.100692352,143.270385740,0
1572.952287256,115.987430633,142.743316650,0
1572.973120652,114.550376249,142.740356450,0
1572.993954047,118.141938341,142.109191890,0
1573.014787442,118.172733097,142.307815550,0
1573.035620837,119.293471238,141.562133790,0
1573.056454231,119.868843705,141.793319700,0
1573.077287625,117.986656965,141.665496830,0
1573.098121018,118.391265822,140.836853030,0
1573.118954411,117.917447049,140.546768190,0
1573.139787803,114.252306429,140.610351560,0
1573.160621195,114.102702837,139.877670290,0
1573.181454586,116.776253019,139.588790890,0
1573.202287977,116.586004790,139.775909420,0
1573.223121367,118.966879994,139.087829590,0
1573.243954757,118.843013591,138.696914670,0
1573.264788147,119.829291631,138.518890380,0
1573.285621535,118.541720979,138.556930540,0
1573.306454924,118.552978070,138.211639400,0
1573.327288312,117.619188849,138.118301390,0
1573.348121699,114.674637513,137.796508790,0
1573.368955086,115.759034540,137.413589480,0
1573.389788473,117.538755475,137.253631590,0
1573.410621859,119.595283323,136.872344970,0
1573.431455244,119.972289825,136.407318120,0
1573.452288629,123.615689614,136.331024170,0
1573.473122014,123.018253212,136.232086180,0
1573.493955398,119.872790688,136.623199460,0
1573.514788781,120.115584785,136.334198000,0
1573.535622164,117.907267850,136.209289550,0
1573.556455546,115.874122951,135.985992430,0
1573.577288928,114.042983908,136.094360350,0
1573.598122310,116.395712732,135.505935670,0
1573.618955691,117.957492529,135.397186280,0
1573.639789071,120.793283842,135.354064940,0
1573.660622451,122.759935620,135.546508790,0
1573.681455831,123.364978674,135.360870360,0
1573.702289210,122.691325951,135.023651120,0
1573.723122588,123.000219936,134.751754760,0
1573.743955966,118.281957706,135.041961670,0
1573.764789343,114.280722133,135.417053220,0
1573.785622720,113.422617120,135.421096800,0
1573.806456096,116.426913398,135.026489260,0
1573.827289472,115.244285585,135.150695800,0
1573.848122847,117.720077678,135.209732060,0
1573.868956222,119.571694540,135.025878910,0
1573.889789596,118.687747577,135.451171880,0
1573.910622970,118.330435804,135.355468750,0
1573.931456343,120.131126062,134.935333250,0
1573.952289716,119.349485731,135.162338260,0
1573.973123088,118.439600000,135.224090580,0
1573.993956460,118.734035299,135.155410770,0
1574.014789831,114.818990450,135.274749760,0
1574.035623202,115.038645618,135.337844850,0
1574.056456571,116.795320833,135.261123660,0
1574.077289941,119.822407144,135.133834840,0
1574.098123310,117.174175965,135.776229860,0
1574.118956678,116.430345981,135.515594480,0
1574.139790046,117.356517084,135.329895020,0
1574.160623414,116.482890759,135.463653560,0
1574.181456780,116.227830668,135.520980830,0
1574.202290147,115.797177019,135.350006100,0
1574.223123513,114.612190245,135.472595210,0
1574.243956878,111.548581506,135.458404540,0
1574.264790242,114.114885806,135.421752930,0
1574.285623606,118.483540718,135.350616460,0
1574.306456970,118.357501302,135.336608890,0
1574.327290333,117.618123957,135.606689450,0
1574.348123695,120.119330793,135.488784790,0
1574.368957058,118.682604396,135.333251950,0
1574.389790419,119.424106310,135.099777220,0
1574.410623780,119.495678629,134.946365360,0
1574.431457140,116.967310493,135.131317140,0
1574.452290500,113.820794297,135.207946780,0
1574.473123859,114.942412447,135.294342040,0
1574.493957218,116.728450349,135.409820560,0
1574.514790576,117.935768129,134.884201050,0
1574.535623933,118.323138303,135.405975340,0
1574.556457290,117.994448842,135.683120730,0
1574.577290647,121.171569161,135.229400630,0
1574.598124003,119.104337019,135.626770020,0
1574.618957358,120.393016492,135.079299930,0
1574.639790713,118.001865187,135.293609620,0
1574.660624067,116.581442317,134.680114750,0
1574.681457421,113.418915946,135.106048580,0
1574.702290774,114.813995883,135.472015380,0
1574.723124126,114.990625405,135.081817630,0
1574.743957478,116.202406984,135.295654300,0
1574.764790830,118.675793441,135.189956670,0
1574.785624180,118.644468736,135.044738770,0
1574.806457531,118.988979542,135.215332030,0
1574.827290881,119.552042427,134.976440430,0
1574.848124230,117.716942092,135.572937010,0
1574.868957578,116.268688047,135.426666260,0
1574.889790926,113.766880016,135.570739750,0
1574.910624274,114.326424140,135.083984380,0
1574.931457620,114.130509489,135.765274050,0
1574.952290967,115.245593285,135.477691650,0
1574.973124312,115.906954840,135.196334840,0
1574.993957658,116.457792060,135.479568480,0
1575.014791002,119.512557459,135.133041380,0
1575.035624346,118.645146246,135.760894780,0
1575.056457690,118.165569392,135.235336300,0
1575.077291033,117.781371734,134.983688350,0
1575.098124375,116.485533211,134.999237060,0
1575.118957717,115.456216084,135.304260250,0
1575.139791058,113.741991497,135.359405520,0
1575.160624398,115.689248508,135.444610600,0
1575.181457738,116.419868393,135.120285030,0
1575.202291078,116.395244250,135.436950680,0
1575.223124416,117.609496849,135.392791750,0
1575.243957755,118.177058522,135.265014650,0
1575.264791092,116.715679830,135.049118040,0
1575.285624429,113.868116234,135.425827030,0
1575.306457766,115.874904174,135.086181640,0
1575.327291102,113.163926511,135.497589110,0
1575.348124437,113.761534104,135.388977050,0
1575.368957772,115.251802941,135.105346680,0
1575.389791106,117.509374897,135.140960690,0
1575.410624439,117.602919700,135.634490970,0
1575.431457772,120.917517972,135.061126710,0
1575.452291105,120.595717013,134.765167240,0
