#first HST orbit is affected by the ramp effect 
Time (MJD), Luh16A_flux, Luh16B_flux,Luh16A_flux_err,Luh16B_flux_err 
     59707.3173, 3.523e-11, 4.076e-11, 5.874e-14, 6.659e-14
     59707.3176, 3.522e-11, 4.069e-11, 5.762e-14, 6.617e-14
     59707.3179, 3.521e-11, 4.073e-11, 5.77e-14, 6.638e-14
     59707.3182, 3.52e-11, 4.065e-11, 5.76e-14, 6.616e-14
     59707.3185, 3.518e-11, 4.07e-11, 5.741e-14, 6.631e-14
     59707.3188, 3.52e-11, 4.065e-11, 5.743e-14, 6.592e-14
     59707.3191, 3.519e-11, 4.073e-11, 5.754e-14, 6.64e-14
     59707.3194, 3.517e-11, 4.066e-11, 5.754e-14, 6.618e-14
     59707.3197, 3.522e-11, 4.066e-11, 5.773e-14, 6.614e-14
       59707.32, 3.511e-11, 4.066e-11, 5.718e-14, 6.612e-14
     59707.3203, 3.519e-11, 4.066e-11, 5.764e-14, 6.616e-14
     59707.3206, 3.517e-11, 4.065e-11, 5.759e-14, 6.63e-14
     59707.3209, 3.516e-11, 4.063e-11, 5.755e-14, 6.61e-14
     59707.3212, 3.516e-11, 4.065e-11, 5.755e-14, 6.637e-14
     59707.3215, 3.518e-11, 4.064e-11, 5.765e-14, 6.606e-14
     59707.3218, 3.516e-11, 4.062e-11, 5.766e-14, 6.619e-14
     59707.3221, 3.516e-11, 4.063e-11, 5.743e-14, 6.604e-14
     59707.3224, 3.514e-11, 4.062e-11, 5.735e-14, 6.604e-14
     59707.3227, 3.516e-11, 4.062e-11, 5.737e-14, 6.615e-14
      59707.323, 3.516e-11, 4.063e-11, 5.863e-14, 6.618e-14
     59707.3233, 3.523e-11, 4.059e-11, 5.772e-14, 6.6e-14
     59707.3236, 3.516e-11, 4.063e-11, 5.753e-14, 6.612e-14
     59707.3239, 3.516e-11, 4.063e-11, 5.754e-14, 6.628e-14
     59707.3242, 3.52e-11, 4.056e-11, 5.779e-14, 6.607e-14
     59707.3245, 3.518e-11, 4.056e-11, 5.756e-14, 6.6e-14
     59707.3248, 3.511e-11, 4.057e-11, 5.733e-14, 6.597e-14
     59707.3251, 3.512e-11, 4.06e-11, 6.733e-14, 6.604e-14
     59707.3254, 3.515e-11, 4.058e-11, 5.734e-14, 6.575e-14
     59707.3257, 3.513e-11, 4.054e-11, 5.756e-14, 6.597e-14
      59707.326, 3.516e-11, 4.056e-11, 5.755e-14, 6.614e-14
     59707.3263, 3.515e-11, 4.055e-11, 5.878e-14, 6.635e-14
     59707.3266, 3.514e-11, 4.054e-11, 5.772e-14, 6.609e-14
     59707.3269, 3.514e-11, 4.057e-11, 5.758e-14, 6.602e-14
     59707.3272, 3.515e-11, 4.059e-11, 5.768e-14, 6.625e-14
     59707.3275, 3.517e-11, 4.061e-11, 5.76e-14, 6.633e-14
     59707.3278, 3.516e-11, 4.055e-11, 5.757e-14, 6.607e-14
     59707.3281, 3.516e-11, 4.056e-11, 5.763e-14, 6.61e-14
     59707.3284, 3.52e-11, 4.054e-11, 5.779e-14, 6.612e-14
     59707.3287, 3.519e-11, 4.062e-11, 5.772e-14, 6.64e-14
      59707.329, 3.515e-11, 4.064e-11, 5.87e-14, 6.63e-14
     59707.3293, 3.518e-11, 4.056e-11, 5.772e-14, 6.63e-14
     59707.3296, 3.517e-11, 4.057e-11, 5.774e-14, 6.645e-14
     59707.3299, 3.516e-11, 4.052e-11, 5.762e-14, 6.622e-14
     59707.3302, 3.514e-11, 4.055e-11, 5.766e-14, 6.631e-14
