TIME	PSF_FLUX_NORM	PSF_EFLUX	X_POSITION	Y_POSITION	DQUALITY
2298.062135802	1.0020364210783093	0.04709571179068053	540.1494	156.2644	0
2298.069080306	1.0021191633453952	0.04709960067723357	540.1488	156.2635	0
2298.076024809	0.9859068660719142	0.04633762270537997	540.1485	156.2632	0
2298.082969313	0.9965650751354292	0.046838558531365176	540.1484	156.2623	0
2298.089913816	0.9941369207627321	0.04672443527584841	540.1505	156.2652	0
2298.09685832	0.9948551378071397	0.046758191476935565	540.147	156.2642	0
2298.103802823	0.9891138410293197	0.04648835052837803	540.1488	156.2641	0
2298.110747326	0.9941953216112188	0.04672718011572728	540.1501	156.2657	0
2298.11769183	0.9783985742141806	0.04598473298806649	540.1492	156.2627	0
2298.124636333	0.9878106476894917	0.04642710044140611	540.1491	156.2625	0
2298.131580836	0.9968958387007202	0.04685410441893385	540.1485	156.2642	0
2298.138525339	0.9956981658963105	0.046797813797126595	540.1483	156.2623	0
2298.145469842	0.9748540743691918	0.045818141495352016	540.1484	156.2629	0
2298.152414345	1.0094690476603205	0.047445045240035066	540.1484	156.2656	0
2298.159358848	0.9852987756902073	0.04630904245743974	540.1467	156.2615	0
2298.166303351	0.9886159185930059	0.04646494817387128	540.1487	156.2645	0
2298.173247854	0.9846736020462564	0.04627965929617405	540.1495	156.2634	0
2298.180192357	0.9933304555154764	0.04668653140922739	540.1483	156.2648	0
2298.18713686	0.9948232695609737	0.04675669366936576	540.1477	156.2634	0
2298.194081363	1.012858877954479	0.04760436726386051	540.1485	156.2654	0
2298.201025865	0.9959771140384789	0.046810924359808506	540.1488	156.2631	0
2298.207970368	1.0089289857227464	0.04741966232896908	540.1481	156.2649	0
2298.21491487	1.0179051113300086	0.0478415402325104	540.1478	156.2619	0
2298.221859373	1.0013507769985042	0.04706348651892969	540.1494	156.2652	0
2298.228803875	1.0188798070617138	0.047887350931900545	540.1483	156.2621	0
2298.235748378	1.000066452846101	0.04700312328376675	540.1478	156.2645	0
2298.24269288	1.023193242233704	0.048090082384984086	540.1489	156.2643	0
2298.249637382	1.0207373987212343	0.04797465773989801	540.1483	156.2647	0
2298.256581885	1.020974622064965	0.047985807237053354	540.1473	156.2649	0
2298.263526387	1.0012092080867212	0.0470568327800759	540.1502	156.2633	0
2298.270470889	1.0087178896968765	0.04740974081575319	540.1472	156.2628	0
2298.277415391	1.0037609479829679	0.047176764555199494	540.1488	156.2634	0
2298.284359893	1.0081778860579031	0.04738436064472145	540.1483	156.2649	0
2298.291304396	1.0203448930984644	0.04795620997562783	540.1489	156.2643	0
2298.298248897	0.9933934752175374	0.04668949333522426	540.148	156.2634	0
2298.305193399	1.0173182491328474	0.04781395770924383	540.1488	156.2631	0
2298.312137901	1.019965408416661	0.04793837419558306	540.1487	156.2618	0
2298.319082403	1.0103422887612048	0.04748608757177662	540.1477	156.2638	0
2298.326026905	1.0039430536251157	0.04718532352038044	540.1471	156.2647	0
